program1_idx,program2_idx,program1_row_id,program2_row_id,similarity
6,9,8fc623d05479bc198c0687ded6927184,26d66e7dc29bc04c4936ae8fbcaf33c2,0.9983764
13,18,7e9ef24cab54f89852278c1342806d80,c4bbfc48ac486b142504bc2e65b5a0ad,0.9974552
17,18,6a85aedec844ca85dc657b28d53e8bff,c4bbfc48ac486b142504bc2e65b5a0ad,0.9970897
13,14,7e9ef24cab54f89852278c1342806d80,5cc8b7be846ff9d466c39393428df0b1,0.99696
14,17,5cc8b7be846ff9d466c39393428df0b1,6a85aedec844ca85dc657b28d53e8bff,0.99692166
14,18,5cc8b7be846ff9d466c39393428df0b1,c4bbfc48ac486b142504bc2e65b5a0ad,0.99691725
13,17,7e9ef24cab54f89852278c1342806d80,6a85aedec844ca85dc657b28d53e8bff,0.9968631
10,16,3fb0d6dc7363143f8348406a807a993d,d18d9a48193ab5f6d16149e17c5dc21f,0.9963754
3,9,64065627b47280322c1717a24514143a,26d66e7dc29bc04c4936ae8fbcaf33c2,0.995877
3,6,64065627b47280322c1717a24514143a,8fc623d05479bc198c0687ded6927184,0.9957919
16,18,d18d9a48193ab5f6d16149e17c5dc21f,c4bbfc48ac486b142504bc2e65b5a0ad,0.99379575
16,17,d18d9a48193ab5f6d16149e17c5dc21f,6a85aedec844ca85dc657b28d53e8bff,0.99370927
13,16,7e9ef24cab54f89852278c1342806d80,d18d9a48193ab5f6d16149e17c5dc21f,0.9925709
7,10,a4853bb6a3405b9225a575d3ea4f7a08,3fb0d6dc7363143f8348406a807a993d,0.99149257
10,13,3fb0d6dc7363143f8348406a807a993d,7e9ef24cab54f89852278c1342806d80,0.9912348
10,18,3fb0d6dc7363143f8348406a807a993d,c4bbfc48ac486b142504bc2e65b5a0ad,0.9910137
14,16,5cc8b7be846ff9d466c39393428df0b1,d18d9a48193ab5f6d16149e17c5dc21f,0.99054277
6,12,8fc623d05479bc198c0687ded6927184,8e504cb8ffab35cb5a0e42da19eba646,0.99052477
